eez_mrgid,abnj_length_km,sol_length_km,pct_length,PolygonID,GeoName,Pol_type,MRGID_Ter1,Territory1,MRGID_Sov1,Sovereign1,ISO_Ter1,MRGID_Ter2,Territory2,MRGID_Sov2,Sovereign2,ISO_Ter2,MRGID_Ter3,Territory3,MRGID_Sov3,Sovereign3,ISO_Ter3,x_1,y_1,Area_km2,MRGID_EEZ,rmapshaper,rmapshap_1
8391,952.0352411536,651.3964052192,0.68421459318028,121,Liberian Exclusive Economic Zone,200NM,2105,Liberia,2105,Liberia,LBR,0,NA,0,NA,NA,0,NA,0,NA,NA,-10.1776291,3.802803,251776.275286,8391,116,NA
8392,50.1040205167,50.1040205167,1,147,Togolese Exclusive Economic Zone,200NM,8632,Togo,8632,Togo,TGO,0,NA,0,NA,NA,0,NA,0,NA,NA,1.8213496,4.639492,15439.2618032,8392,140,NA
8393,50.1040205167,50.1040205167,1,165,Beninese Exclusive Economic Zone,200NM,2139,Benin,2139,Benin,BEN,0,NA,0,NA,NA,0,NA,0,NA,NA,2.421233,4.8415494,35528.368644,8393,245,NA
8395,2004.3962260132,1703.7353208278,0.849999265971767,36,Namibian Exclusive Economic Zone,200NM,2218,Namibia,2218,Namibia,NAM,0,NA,0,NA,NA,0,NA,0,NA,NA,12.2854742,-23.6496865,562210.160942,8395,33,NA
8396,4259.1433570181,2505.3628670098,0.588231636505386,30,South African Exclusive Economic Zone,200NM,2176,South Africa,2176,South Africa,ZAF,0,NA,0,NA,NA,0,NA,0,NA,NA,24.4433128,-33.5080154,1072718.43265,8396,27,NA
8397,150.3267743842,0,0,168,Sao Tome and Principe Exclusive Economic Zone,200NM,2238,Sao Tome and Principe,2238,Sao Tome and Principe,STP,0,NA,0,NA,NA,0,NA,0,NA,NA,6.3533452,0.7790965,130840.024661,8397,160,NA
8398,1202.5994822391,1002.1686873382,0.833335372365435,215,Equatorial Guinean Exclusive Economic Zone,200NM,2112,Equatorial Guinea,2112,Equatorial Guinea,GNQ,0,NA,0,NA,NA,0,NA,0,NA,NA,5.4374507,-1.3718336,304131.929643,8398,202,NA
8399,2806.0164157781,601.285028285502,0.214284216195067,204,Bouvet Exclusive Economic Zone,200NM,8634,Bouvet,2252,Norway,BVT,0,NA,0,NA,NA,0,NA,0,NA,NA,3.3555732,-54.4556346,441841.102452,8399,194,NA
8400,851.8051308691,50.1113769338,0.0588296256007183,226,Ghanaian Exclusive Economic Zone,200NM,2100,Ghana,2100,Ghana,GHA,0,NA,0,NA,NA,0,NA,0,NA,NA,-0.8472268,3.5028666,227218.059083,8400,211,NA
8401,3006.4839927642,0,0,61,Clipperton Exclusive Economic Zone,200NM,8635,Clipperton Island,17,France,CPT,0,NA,0,NA,NA,0,NA,0,NA,NA,-109.2172817,10.3086886,435657.049626,8401,58,NA
8402,3056.5585876124,651.4037616362,0.213116726856212,55,Bermudian Exclusive Economic Zone,200NM,8636,Bermuda,2208,United Kingdom,BMU,0,NA,0,NA,NA,0,NA,0,NA,NA,-64.7672541,32.3347219,453160.413003,8402,52,NA
